id,StopArrivalTime,BusArrivalTime,BusDepartureTime,StartStopId,EndStopId,BusType, Num Detours
186,494,537,602,S2,S1,Blue,0
223,517,537,602,S2,S1,Blue,0
155,474,550,617,S3,S1,Blue,0
166,479,550,617,S3,S1,Blue,0
168,479,550,617,S3,S1,Blue,0
173,483,550,617,S3,S1,Blue,0
184,494,550,617,S3,S1,Blue,0
190,494,550,617,S3,S1,Blue,0
208,513,550,617,S3,S1,Blue,0
211,515,550,617,S3,S1,Blue,0
212,515,550,617,S3,S1,Blue,0
215,515,550,617,S3,S1,Blue,0
216,515,550,617,S3,S1,Blue,0
221,517,550,617,S3,S1,Blue,0
227,517,550,617,S3,S1,Blue,0
233,532,550,617,S3,S1,Blue,0
237,532,550,617,S3,S1,Blue,0
240,532,550,617,S3,S1,Blue,0
242,537,550,617,S3,S1,Blue,0
251,540,550,617,S3,S1,Blue,0
260,540,550,617,S3,S1,Blue,0
191,498,517,579,S3,S1,Red,0
199,498,517,579,S3,S1,Red,0
204,513,517,579,S3,S2,Red,0
206,513,517,579,S3,S1,Red,0
210,513,517,579,S3,S2,Red,0
213,515,517,579,S3,S1,Red,0
218,515,517,579,S3,S2,Red,0
222,517,532,593,S2,S3,Red,0
123,458,498,592,S3,S2,Red,0
126,458,498,592,S3,S1,Red,0
129,458,498,592,S3,S1,Red,0
139,461,498,592,S3,S1,Red,0
140,461,498,592,S3,S2,Red,0
142,471,498,592,S3,S1,Red,0
143,471,498,592,S3,S1,Red,0
153,474,498,592,S3,S2,Red,0
156,474,498,592,S3,S1,Red,0
158,474,498,592,S3,S1,Red,0
176,483,498,592,S3,S1,Red,0
179,483,498,592,S3,S1,Red,0
183,494,498,592,S3,S1,Red,0
163,479,515,611,S2,S3,Red,0
174,483,515,611,S2,S3,Red,0
182,494,515,611,S2,S3,Red,0
207,513,515,611,S2,S3,Red,0
185,494,540,625,S1,S3,Red,0
192,498,540,625,S1,S3,Red,0
209,513,540,625,S1,S3,Red,0
217,515,540,625,S1,S3,Red,0
238,532,540,625,S1,S3,Red,0
222,517,532,593,S2,S3,Red,0
255,540,551,608,S1,S2,Red,0
224,517,579,666,S3,S2,Red,0
225,517,579,666,S3,S2,Red,0
229,517,579,666,S3,S2,Red,0
230,517,579,666,S3,S2,Red,0
246,537,579,666,S3,S2,Red,0
253,540,579,666,S3,S2,Red,0
254,540,579,666,S3,S2,Red,0
263,550,579,666,S3,S2,Red,0
180,483,537,602,S2,S3,Blue,0
186,494,537,602,S2,S1,Blue,0
196,498,537,602,S2,S3,Blue,0
219,515,537,602,S2,S3,Blue,0
223,517,537,602,S2,S1,Blue,0
235,532,537,602,S2,S3,Blue,0
160,474,550,617,S3,S2,Blue,0
187,494,550,617,S3,S2,Blue,0
194,498,550,617,S3,S2,Blue,0
198,498,550,617,S3,S2,Blue,0
201,513,550,617,S3,S2,Blue,0
214,515,550,617,S3,S2,Blue,0
243,537,550,617,S3,S2,Blue,0
220,515,578,651,S1,S2,Blue,0
245,537,578,651,S1,S2,Blue,0
250,537,578,651,S1,S2,Blue,0
255,540,551,608,S1,S2,Red,0
234,532,579,666,S3,S1,Red,0
249,537,579,666,S3,S1,Red,0
256,540,579,666,S3,S1,Red,0
258,540,579,666,S3,S1,Red,0
269,550,579,666,S3,S1,Red,0
272,551,579,666,S3,S1,Red,0
274,551,579,666,S3,S1,Red,0
278,551,579,666,S3,S1,Red,0
279,551,579,666,S3,S1,Red,0
241,537,593,692,S2,S1,Red,0
261,550,593,692,S2,S1,Red,0
285,578,593,692,S2,S1,Red,0
293,579,593,692,S2,S1,Red,0
162,479,515,611,S2,S1,Red,0
163,479,515,611,S2,S3,Red,0
174,483,515,611,S2,S3,Red,0
182,494,515,611,S2,S3,Red,0
200,498,515,611,S2,S1,Red,0
207,513,515,611,S2,S3,Red,0
181,494,540,625,S1,S2,Red,0
292,579,592,650,S3,S2,Red,0
296,579,592,650,S3,S2,Red,0
298,579,592,650,S3,S2,Red,0
155,474,550,617,S3,S1,Blue,0
160,474,550,617,S3,S2,Blue,0
166,479,550,617,S3,S1,Blue,0
168,479,550,617,S3,S1,Blue,0
173,483,550,617,S3,S1,Blue,0
184,494,550,617,S3,S1,Blue,0
187,494,550,617,S3,S2,Blue,0
190,494,550,617,S3,S1,Blue,0
194,498,550,617,S3,S2,Blue,0
198,498,550,617,S3,S2,Blue,0
201,513,550,617,S3,S2,Blue,0
208,513,550,617,S3,S1,Blue,0
211,515,550,617,S3,S1,Blue,0
212,515,550,617,S3,S1,Blue,0
214,515,550,617,S3,S2,Blue,0
215,515,550,617,S3,S1,Blue,0
216,515,550,617,S3,S1,Blue,0
221,517,550,617,S3,S1,Blue,0
227,517,550,617,S3,S1,Blue,0
233,532,550,617,S3,S1,Blue,0
237,532,550,617,S3,S1,Blue,0
240,532,550,617,S3,S1,Blue,0
242,537,550,617,S3,S1,Blue,0
243,537,550,617,S3,S2,Blue,0
251,540,550,617,S3,S1,Blue,0
260,540,550,617,S3,S1,Blue,0
202,513,578,651,S1,S3,Blue,0
203,513,578,651,S1,S3,Blue,0
205,513,578,651,S1,S3,Blue,0
226,517,578,651,S1,S3,Blue,0
228,517,578,651,S1,S3,Blue,0
231,532,578,651,S1,S3,Blue,0
236,532,578,651,S1,S3,Blue,0
239,532,578,651,S1,S3,Blue,0
244,537,578,651,S1,S3,Blue,0
248,537,578,651,S1,S3,Blue,0
252,540,578,651,S1,S3,Blue,0
259,540,578,651,S1,S3,Blue,0
266,550,578,651,S1,S3,Blue,0
264,550,602,679,S2,S3,Blue,0
281,578,602,679,S2,S3,Blue,0
181,494,540,625,S1,S2,Red,0
185,494,540,625,S1,S3,Red,0
192,498,540,625,S1,S3,Red,0
209,513,540,625,S1,S3,Red,0
217,515,540,625,S1,S3,Red,0
238,532,540,625,S1,S3,Red,0
299,579,592,650,S3,S1,Red,0
331,602,611,668,S2,S1,Red,0
292,579,592,650,S3,S2,Red,0
296,579,592,650,S3,S2,Red,0
298,579,592,650,S3,S2,Red,0
299,579,592,650,S3,S1,Red,0
314,593,611,668,S2,S3,Red,0
